text,label
"['INTRADAY', ' UPDATE  KEC GIVEN AT 406 TOUCHED ', 'KEC', ' GIVEN AT ', '406', '', '410.50', '  KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  KEC GIVEN AT 406 TOUCHED TARGET ', 'KEC', ' GIVEN AT ', '406', '', '413', ' (HIGH : 413.80) ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  M&MFIN GIVEN A BUY ABOVE 186 TOUCHED FIRST TARGET ', 'M&MFIN', ' GIVEN A BUY ABOVE ', '186', '', '190', ' (HIGH : 190.40) ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  LOKESHMACH GIVEN ABOVE 79 TOUCHED 81.25  GANESHHOUC GIVEN ABOVE 291 TOUCHED ', 'LOKESHMACH', ' GIVEN ABOVE ', '79', ' TOUCHED 81.25  ', '81.25', 'GANESHHOUC', ' GIVEN ABOVE ', '291', '', '294.50', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  ADSL GIVEN AT 127 TOUCHED SECOND TARGET ', 'ADSL', ' GIVEN AT ', '127', '', '134', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  AMDIND GIVEN AT 48.70 TOUCHED ', 'AMDIND', ' GIVEN AT ', '48.70', '', '52', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  HMVL GIVEN AT 52.70 TOUCHED ', 'HMVL', ' GIVEN AT ', '52.70', '', '54.80', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  FMGOETZE GIVEN AT 295 TOUCHED ', 'FMGOETZE', ' GIVEN AT ', '295', '', '298.20', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  GET&D GIVEN ABOVE 111 TOUCHED ', 'GET&D', ' GIVEN ABOVE ', '111', '', '114', '   KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  EMAMIREAL GIVEN A BUY AT 74 TOUCHED ', 'EMAMIREAL', ' GIVEN A BUY AT ', '74', '', '76.70', '   KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  SATIA GIVEN ABOVE 131 TOUCHED ', 'SATIA', ' GIVEN ABOVE ', '131', '', '133.40', '  KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  SPAL GIVEN A BUY ABOVE 412 TOUCHED ', 'SPAL', ' GIVEN A BUY ABOVE ', '412', '', '418.80', '  KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  ASTRAMICRO GIVEN ABOVE 290 TOUCHED ', 'ASTRAMICRO', ' GIVEN ABOVE ', '290', '', '295', '  KEEP ON BOOKING / TRAILNG ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', ' UPDATE  LGBBROSLTD TOUCHED ', 'LGBBROSLTD', ' TOUCHED 725   ', '725', '   AGROPHOS TOUCHED 38.30 FROM ', 'AGROPHOS', '', '38.30', '33.80', ' ']","['btst', 'NANA', 'symbol', 'NANA', 'touched', 'NANA', 'symbol', 'NANA', 'touched', 'enter', 'NANA']"
"['INTRADAY', ' UPDATE  NDRAUTO GIVEN A BUY ABOVE 402 TOUCHED ', 'NDRAUTO', ' GIVEN A BUY ABOVE ', '402', '', '407.10', '   KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  SHANTIGEAR GIVEN ABOVE 262 TOUCHED ', 'SHANTIGEAR', ' GIVEN ABOVE ', '262', '', '267', '  KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  SHANTIGEAR GIVEN A BUY ABOVE 262 TOUCHED  TARGET ', 'SHANTIGEAR', ' GIVEN A BUY ABOVE ', '262', '', '270', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BBL', '... ABOVE ', '1880', ' TOUCHED ', '1897', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BEPL', '.. ROCKING.. GIVEN AROUND ', '117', ' TOUCHED ', '126', ' TODAY ITSELF ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', ' UPDATE  DAAWAT GIVEN AT 99 TOUCHED ', 'DAAWAT', ' GIVEN AT ', '99', ' TOUCHED 101.35  ', '101.35', '  AUTOIND GIVEN AT 70 LEVELS.. TOUCHED ', 'AUTOIND', ' GIVEN AT ', '70', '', '73.60', ' ']","['btst', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  AURIONPRO GIVEN A BUY ABOVE 343 TOUCHED TARGET ', 'AURIONPRO', ' GIVEN A BUY ABOVE ', '343', '', '350', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['FRIENDS...  WATCHOUT.. ', 'CTE', ' GIVEN ABOVE ', '82', ' TOUCHED ', '86.90', '   KEEP ON BOOKING / TRAILING ACCORDINGLY ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' UPDATE  KIOCL GIVEN ABOVE 200 TOUCHED ', 'KIOCL', ' GIVEN ABOVE ', '200', '', '206', '+ ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['SIS', '.. GIVENFOR BTST AT ', '458', ' TOUCHED ', '461.90', ' ', 'INTRADAY', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA', 'intraday', 'NANA']"
"['AUSOMENT', '.. STARTED UPMOVE  GIVEN AT ', '82', ' TOUCHED ', '84.70', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['RELIGARE', '.. OUR BTST GIVEN AT ', 'BTST', ' GIVEN AT 148 TOUCHED ', '148', '', '154', ' TODAY ITSELF ']","['symbol', 'NANA', 'btst', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', ' UPDATE  WELCORP GIVEN AT 241 TOUCHED ', 'WELCORP', ' GIVEN AT ', '241', '', '254', '+ TODAY ']","['btst', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['65.50', ' CAN SHOOT UP.....  UPTO ', '70', '+ ']","['entry_momentum', 'NANA', 'exit', 'NANA']"
"['INTRADAY', ' : BUY ', 'EMMBI', ' ABOVE ', '94.50', ' SL ', '93', ' TARGET ', '100', ' - ', '105', ' - ', '109', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['EMMBI', '.. QUICKLY DID ', '97.15', ' FROM ', '94.50', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['DELIVERY', '  BUY ', 'SKMEGGPROD', ' CMP ', '63', ' SL ', '57', ' TARGET ', '75', ' - ', '80', ' - ', '85', ' ']","['delivery', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ' : BUY ', 'HEMIPROP', ' CMP ', '116.70', ' SL ', '114', ' TARGET ', '120', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['NACLIND', ' ']","['symbol', 'NANA']"
"['NACLIND', ""... RSI BREAKING OUT.. DON'T MISS ""]","['symbol', 'NANA']"
"['INTRADAY', ' UPDATE  ', 'HEMIPROP', ' GIVEN A BUY AT ', '116.70', ' TOUCHED TARGET ', '120', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"[""DON'T MISS "", 'NACLIND', '.. ABOVE ', '81.50', ' LEVELS ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA']"
"['INTRADAY', ' UPDATE  ', 'NACLIND', "" DIDN'T GO ABOVE "", '81.50', ' HENCE CALL STANDS CANCELLED ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA']"
"['GEEKAYWIRE', '.. FUNDAMENTALLY ALSO LOOKING VERY GOOD ']","['symbol', 'NANA']"
"['GEEKAYWIRE', ' ']","['symbol', 'NANA']"
"['GEEKAYWIRE', ' TRYING TO BREAKOUT.... ']","['symbol', 'NANA']"
"['GEEKAYWIRE', ' ']","['symbol', 'NANA']"
"['INTRADAY', ' :BUY ', 'NOCIL', ' CMP ', '266', ' SL ', '262', ' TARGET ', '270', ' - ', '275', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' UPDATE  ', 'NOCIL', ' GIVEN FOR INTRADAY AT ', '266', ' TOUCHED FIRST TARGET ', '270', '  HIGH : 271.60 ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['OIL', ' ROCKING.. NONSTOP... ', '263', ' TO ', '276', '+ ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', 'MAXVIL', ' CMP ', '102', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['INTRADAY', ' : BUY JKPAPER ABOVE 350 SL 346 TARGET 355 - ', 'JKPAPER', ' ABOVE ', '350', ' SL ', '346', ' TARGET ', '355', '', '360', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' : BUY DEEPAKFERT ABOVE 712 SL 704 TARGET 720 - ', 'DEEPAKFERT', ' ABOVE ', '712', ' SL ', '704', ' TARGET ', '720', '', '727', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' : UY TIMETECHNO ABOVE 110 SL 108 TARGET 113 - ', 'TIMETECHNO', ' ABOVE ', '110', ' SL ', '108', ' TARGET ', '113', '', '116', ' - ', '120', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['FRIENDS...  KEEP   ', 'ALMONDZ', ' ON RADAR  ABOVE ', '99', ' CAN ZOOM UPTO ', '108', ' - ', '110', '+ LEVELS ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', '  BUY ALMONDZ ABOVE 99 SL 97.50 TARGET 105 - ', 'ALMONDZ', ' ABOVE ', '99', ' SL ', '97.50', ' TARGET ', '105', '', '108', ' - ', '112', '+ ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ' : BUY SELAN ABOVE 202 SL 199 TARGET 205 - ', 'SELAN', ' ABOVE ', '202', ' SL ', '199', ' TARGET ', '205', '', '208', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['SELAN', ' ROCKING... MADE HIGH 206 CLEARING TARGET OF 205  GIVEN FOR INTRADAY AT ', '205', '202', ' ']","['symbol', 'NANA', 'touched', 'enter', 'NANA']"
"['INTRADAY', ' UPDATE  DEEPAKFERT GIVEN ABOVE 712 TOUCHED FIRST TARGET ', 'DEEPAKFERT', ' GIVEN ABOVE ', '712', '', '720', ' (HIGH : 721.95) ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', 'RELIGARE', ' CMP ', '141', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['INTRADAY', ' : BUY COALINDIA CMP 201 SL 198 TARGET 205 - ', 'COALINDIA', ' CMP ', '201', ' SL ', '198', ' TARGET ', '205', '', '208', ' - ', '211', ' ']","['exit2', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['DELIVERY', ' : BUY EMAMIPAP CMP 149 SL 139 TARGET 170  MOMENTUM ABOVE ', 'EMAMIPAP', ' CMP ', '149', ' SL ', '139', ' TARGET ', '170', '', '150', ' - 151 ']","['delivery', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'entry_momentum', 'NANA']"
"['INTRADAY', ' : BUY DCAL CMP 130 SL 127 TARGET 135 - ', 'DCAL', ' CMP ', '130', ' SL ', '127', ' TARGET ', '135', '', '140', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' UPDATE  DCAL GIVEN A BUY AT 130 TOUCHED FIRST TARGET ', 'DCAL', ' GIVEN A BUY AT ', '130', '', '135', ' (HIGH : 136.35) ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', 'WELSPUNIND', ' CMP ', '71.85', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['WELSPUNIND', '.. GOING STRONG... ', '71.85', ' TO ', '73', '+ ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' : BUY DELTACORP CMP 193.50 SL 190 TARGET 197 - ', 'DELTACORP', ' CMP ', '193.50', ' SL ', '190', ' TARGET ', '197', '', '201', ' - ', '205', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ' : BUY JKPAPER ABOVE 346 SL 342 TARGET 350 - ', 'JKPAPER', ' ABOVE ', '346', ' SL ', '342', ' TARGET ', '350', '', '355', ' - ', '360', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', 'THEINVEST', ' CMP ', '107', ' SL ', '105', ' TARGET ', '110', ' - ', '113', ' - ', '116', ' ']","['intraday', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['BTST', 'SAKAR', ' CMP ', '175', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['BTST', '.. GIVEN IN SAKAR AT 175 GOING STRONG TODAY ITSELF AT ', 'SAKAR', ' AT ', '175', '', '179.70', ' ']","['btst', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', 'TECHNOE', ' CMP ', '290', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['BTST', 'INDUSTOWER', ' CMP ', '207', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['DELTACORP', ' MOVING NOW..... ', '195.90', ' TO ', '193', ' LEVELS ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', 'SAKAR', ' AT ', '175', ' LEVELS... ROCKING NOW AT ', '181.60', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA', 'exit', 'NANA']"
"['TECHNOE', ' GIVEN FOR BTST TODAY  ALSO DID ', 'BTST', ' TODAY  ALSO DID 290 TO 294.85 ', '290', '', '294.85', 'INTRADAY', ' ITSELF ']","['symbol', 'NANA', 'btst', 'NANA', 'enter', 'NANA', 'touched', 'intraday', 'NANA']"
"['BTST', 'ROSSELLIND', ' ']","['btst', 'symbol', 'NANA']"
"['BTST', 'ROSSELLIND', ' CMP ', '188', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['INTRADAY', ' : BUY MARATHON ABOVE 155 SL 153 TARGET 158 - ', 'MARATHON', ' ABOVE ', '155', ' SL ', '153', ' TARGET ', '158', '', '161', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' : BUY GINNIFILA ABOVE 38 SL 36.50 TARGET 42 - ', 'GINNIFILA', ' ABOVE ', '38', ' SL ', '36.50', ' TARGET ', '42', '', '44', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['MARATHON', ' GIVEN AT ', '155', ' IS NOW ON UPPER CIRCUIT AT ', '172.65', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' : BUY V2RETAIL ABOVE 115 SL 113 TARGET 120 - ', 'V2RETAIL', ' ABOVE ', '115', ' SL ', '113', ' TARGET ', '120', '', '123', ' - ', '128', ' - 133 ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', 'ORICONENT', ' ABOVE ', '29', ' SL ', '27.50', ' TARGET ', '34', '+ ']","['intraday', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA']"
"['INTRADAY', ' : BUY WELENT ABOVE 110 SL 108 TARGET 113 - ', 'WELENT', ' ABOVE ', '110', ' SL ', '108', ' TARGET ', '113', '', '115', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' : BUY DSSL ABOVE 365 SUSTAINING SL 361 TARGET 370 - ', 'DSSL', ' ABOVE ', '365', ' SUSTAINING SL ', '361', ' TARGET ', '370', '', '375', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['ZUARI', ' GIVEN A BUY ABOVE ', '152', ' TOUCHED 154.45 NEAR TO FIRST TARGET ', '154.45', '155', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'exit', 'NANA']"
"['DSSL', ' ... ROCKING.. GIVEN A BUY ABOVE ', '365', ' TOUCHED ALMOST SECOND TARGET ', '375', ' (HIGH : 374.85) ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['BTST', 'ASALCBR', ' CMP ', '468', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA']"
"['BTST', 'ASALCBR', ' AT ', '468', ' ... ROCKING TODAY ITSELF... NOW AT ', '474.90', ' ']","['btst', 'symbol', 'NANA', 'enter', 'NANA', 'exit', 'NANA']"
"['INTRADAY', ' : BUY LINCOLN CMP 300 SL 297 TARGET 303 - ', 'LINCOLN', ' CMP ', '300', ' SL ', '297', ' TARGET ', '303', '', '306', ' - ', '309', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ' : BUY NRBBEARING CMP 124 SL 122 TARGET 127 - ', 'NRBBEARING', ' CMP ', '124', ' SL ', '122', ' TARGET ', '127', '', '130', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', '  :BUY TORNTPOWER ABOVE 485 SL 479 TARGET 492 - ', 'TORNTPOWER', ' ABOVE ', '485', ' SL ', '479', ' TARGET ', '492', '', '497', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['Intraday', ' Update  NRBBEARING given at 124 touched first Target ', 'NRBBEARING', ' given at ', '124', '', '127', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' :BUY MIRZAINT ABOVE 257 SL 253 TARGET 260 - ', 'MIRZAINT', ' ABOVE ', '257', ' SL ', '253', ' TARGET ', '260', '', '263', ' - ', '266', ' - 269 ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ' UPDATE  MIRZAINT GIVEN AN ', 'MIRZAINT', ' GIVEN AN INTRADAY BUY ABOVE ', 'INTRADAY', ' BUY ABOVE 257 TOUCHED FIRST TARGET ', '257', '', '260', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'intraday', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' : BUY SALASAR ABOVE 262.50 SL 260 TARGET 266 - ', 'SALASAR', ' ABOVE ', '262.50', ' SL ', '260', ' TARGET ', '266', '', '270', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' : BUY KKCL ABOVE 292 SL 289 TARGET 296 - ', 'KKCL', ' ABOVE ', '292', ' SL ', '289', ' TARGET ', '296', '', '300', ' - ', '304', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ""  DON'T MISS  BUY RAMASTEEL ABOVE 365 SL 360 TARGET 370 - "", 'RAMASTEEL', ' ABOVE ', '365', ' SL ', '360', ' TARGET ', '370', '', '372', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' :BUY SARLAPOLY ABOVE 47.50 SL 46 TARGET 51 - ', 'SARLAPOLY', ' ABOVE ', '47.50', ' SL ', '46', ' TARGET ', '51', '', '54', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['NIFTY SPOT', ' : CMP ', '15748', '  BELOW ', '15735', ' CAN GIVE A DOWNFALL ']","['symbol', 'NANA', 'enter', 'NANA', 'entry_momentum', 'NANA']"
"['RAMASTEEL', ' GIVEN ABOVE OUR LEVEL OF ', '365', ' TOUCHED FIRST TARGET ', '370', ' ']","['symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['RAMASTEEL', ' ALSO TOUCHED SECOND TARGET ', '372', ' ']","['symbol', 'NANA', 'touched', 'NANA']"
"['WATCHOUT FRIENDS...  ', 'NIFTY', ' BELOW ', '15735', ' DROPPED TO ', '15710', ' LEVELS.... ']","['NANA', 'symbol', 'NANA', 'enter', 'NANA', 'touched', 'NANA']"
"['INTRADAY', ' : BUY JAGSNPHARM ABOVE 306 SL 302 TARGET 312 - ', 'JAGSNPHARM', ' ABOVE ', '306', ' SL ', '302', ' TARGET ', '312', '', '316', ' - ', '320', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA', 'exit3', 'NANA']"
"['INTRADAY', ' : BUY BHEL CMP 45.80 SL 44.60 TARGET 48 - ', 'BHEL', ' CMP ', '45.80', ' SL ', '44.60', ' TARGET ', '48', '', '50', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
"['INTRADAY', ' : BUY ELECON ABOVE 270 SL 267 TARGET 275 - ', 'ELECON', ' ABOVE ', '270', ' SL ', '267', ' TARGET ', '275', '', '280', ' ']","['intraday', 'NANA', 'symbol', 'NANA', 'enter', 'NANA', 'sl', 'NANA', 'exit', 'NANA', 'exit2', 'NANA']"
